,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,
0,Adani Ports,750.30,2.07,"4,585,484",0.00,750.30,0,"3,055",737.70,735.10,
1,Asian Paints,"3,122.90",1.94,"682,344",0.00,"3,122.90",0,30,"3,089.00","3,063.50",
2,Axis Bank,736.05,-0.27,"9,372,897",0.00,736.05,0,"1,026",742.80,738.05,
3,Bajaj Auto,"3,635.05",-3.06,"745,428","3,635.05",0.00,129,0,"3,782.00","3,749.95",
4,Bajaj Finance,"7,579.10",1.70,"497,128",0.00,"7,579.10",0,11,"7,500.00","7,452.70",
5,Bajaj Finserv,"18,273.80",2.25,"207,802",0.00,"18,273.80",0,30,"18,135.00","17,871.35",
6,BPCL,427.70,0.56,"2,144,462",427.70,0.00,191,0,428.00,425.30,
7,Bharti Airtel,743.50,2.05,"9,207,508",0.00,743.50,0,"9,312",733.00,728.60,
8,Britannia,"3,687.95",1.22,"275,060","3,687.95",0.00,80,0,"3,668.60","3,643.40",
9,Cipla,915.95,1.22,"936,613",0.00,915.95,0,"1,147",910.80,904.90,
10,Coal India,166.95,-0.03,"7,027,513",166.95,0.00,"156,251",0,168.85,167.00,
11,Divis Labs,"4,843.80",0.22,"356,046","4,843.80",0.00,223,0,"4,895.45","4,833.25",
12,Dr Reddys Labs,"4,843.25",0.59,"233,342",0.00,"4,843.25",0,45,"4,850.00","4,814.95",
13,Eicher Motors,"2,723.00",0.69,"879,209",0.00,"2,723.00",0,117,"2,725.00","2,704.35",
14,Grasim,"1,858.45",0.76,"1,152,941","1,858.45",0.00,10,0,"1,857.90","1,844.35",
15,HCL Tech,"1,172.35",1.00,"3,812,518","1,172.35",0.00,732,0,"1,168.90","1,160.70",
16,HDFC Bank,"1,553.00",0.30,"7,457,046","1,553.00",0.00,337,0,"1,550.00","1,548.30",
17,HDFC Life,720.60,2.56,"5,345,270",720.60,0.00,216,0,708.85,702.60,
18,Hero Motocorp,"2,683.05",-0.66,"352,693",0.00,"2,683.05",0,40,"2,720.00","2,700.90",
19,Hindalco,468.55,3.22,"17,010,073",0.00,468.55,0,874,460.50,453.95,
20,HUL,"2,404.95",1.21,"1,651,974","2,404.95",0.00,81,0,"2,388.00","2,376.20",
21,HDFC,"2,992.65",2.88,"2,802,442",0.00,"2,992.65",0,694,"2,925.00","2,908.85",
22,ICICI Bank,776.60,0.67,"15,380,106",776.60,0.00,"5,282",0,772.70,771.45,
23,IOC,132.95,-0.26,"9,503,361",132.95,0.00,552,0,134.00,133.30,
24,IndusInd Bank,"1,037.05",0.36,"3,479,296",0.00,"1,037.05",0,422,"1,040.00","1,033.30",
25,Infosys,"1,780.20",2.71,"5,069,009",0.00,"1,780.20",0,"1,553","1,743.00","1,733.30",
26,ITC,232.90,1.26,"11,855,531",232.90,0.00,590,0,231.20,230.00,
27,JSW Steel,671.35,0.59,"2,542,949",671.35,0.00,505,0,672.05,667.40,
28,Kotak Mahindra,"2,074.70",1.00,"1,434,428","2,074.70",0.00,12,0,"2,068.00","2,054.10",
29,Larsen,"1,959.95",1.46,"2,026,320","1,959.95",0.00,201,0,"1,940.00","1,931.70",
30,M&M,937.80,1.41,"6,239,600",0.00,937.80,0,"4,268",934.00,924.75,
31,Maruti Suzuki,"7,479.85",0.35,"349,666",0.00,"7,479.85",0,"1,395","7,530.00","7,453.45",
32,Nestle,"19,142.45",1.53,"66,512","19,142.45",0.00,49,0,"18,950.00","18,854.00",
