,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,,
0,3M India,"26,715.80",-1.02,"4,272","26,715.80",0.00,1,0,"27,300.00","26,992.25",,
1,Aarti Drugs,552.90,0.00,"121,292",0.00,552.90,0,50,551.00,552.90,,
2,Aarti Ind,948.30,0.89,"1,186,211",948.30,0.00,356,0,950.10,939.90,,
3,AAVAS Financier,"2,861.30",3.28,"249,123",0.00,"2,861.30",0,3,"2,780.00","2,770.45",,
4,ABB India,"2,211.30",1.80,"258,341","2,211.30",0.00,159,0,"2,160.20","2,172.30",,
5,ABB Power Produ,"2,364.00",2.07,"33,410","2,364.00",0.00,10,0,"2,338.25","2,315.95",,
6,Abbott India,"19,754.65",-1.18,"11,666",0.00,"19,754.65",0,69,"20,001.00","19,990.45",,
7,ACC,"2,571.95",0.54,"303,364",0.00,"2,571.95",0,885,"2,568.00","2,558.20",,
8,Adani Enterpris,"1,705.20",2.42,"5,349,189",0.00,"1,705.20",0,"5,276","1,678.30","1,664.90",,
9,Adani Green Ene,"1,292.30",5.00,"1,685,194","1,292.30",0.00,"105,846",0,"1,248.00","1,230.80",,
10,Adani Ports,750.30,2.07,"4,585,484",0.00,750.30,0,"3,055",737.70,735.10,,
11,Adani Total Gas,"1,663.25",0.26,"177,805","1,663.25",0.00,67,0,"1,666.00","1,658.90",,
12,Adani Trans,"1,988.35",5.00,"206,635","1,988.35",0.00,661,0,"1,929.75","1,893.70",,
13,AB Capital,106.55,-1.57,"1,766,815",106.55,0.00,123,0,108.95,108.25,,
14,Aditya Birla F,298.20,-0.75,"3,079,654",298.20,0.00,345,0,302.90,300.45,,
15,Advanced Enzyme,352.85,-1.13,"151,058",352.85,0.00,587,0,356.60,356.90,,
16,Aegis Logistics,210.20,1.30,"328,044",0.00,210.20,0,"1,599",208.55,207.50,,
17,Affle India,"1,168.65",2.04,"376,538",0.00,"1,168.65",0,104,"1,161.50","1,145.25",,
18,AIA Engineering,"1,896.70",-0.06,"11,158",0.00,"1,896.70",0,462,"1,897.70","1,897.75",,
19,Ajanta Pharma,"2,184.40",1.58,"35,545",0.00,"2,184.40",0,109,"2,165.00","2,150.45",,
20,Akzo Nobel,"2,116.00",-0.47,"20,020","2,116.00",0.00,18,0,"2,149.90","2,126.05",,
21,Alembic,109.85,-2.62,"190,611",0.00,109.85,0,"2,689",112.80,112.80,,
22,Alembic Pharma,780.45,1.45,"326,310",0.00,780.45,0,364,770.00,769.30,,
23,Alkem Lab,"3,550.20",0.57,"561,320",0.00,"3,550.20",0,259,"3,540.05","3,530.20",,
24,Alkyl Amines,"3,284.20",0.45,"26,748",0.00,"3,284.20",0,2,"3,297.10","3,269.45",,
25,Alok Industries,22.80,1.11,"5,032,081",0.00,22.80,0,"37,025",22.65,22.55,,
26,Amara Raja Batt,696.70,-0.19,"611,957",0.00,0.00,0,0,699.00,698.05,,
27,Amber Enterpris,"3,312.70",-1.94,"24,216","3,312.70",0.00,3,0,"3,400.00","3,378.30",,
28,Ambuja Cements,422.85,0.39,"1,246,774",422.85,0.00,529,0,424.00,421.20,,
29,Angel One,"1,219.70",-0.45,"308,246",0.00,"1,219.70",0,18,"1,230.00","1,225.25",,
30,APL Apollo,920.00,2.02,"574,173",920.00,0.00,10,0,890.00,901.80,,
31,Apollo Hospital,"4,669.50",2.24,"423,439","4,669.50",0.00,13,0,"4,612.90","4,567.25",,
32,Apollo Tyres,232.50,0.22,"1,696,917",0.00,232.50,0,"2,705",233.00,232.00,,
33,Asahi India,481.65,15.49,"2,364,450",481.65,0.00,"10,717",0,424.00,417.05,,
34,Ashok Leyland,145.70,-0.48,"8,584,972",145.70,0.00,"3,125",0,147.25,146.40,,
35,Ashoka Buildcon,108.45,-1.63,"600,690",0.00,108.45,0,"1,082",110.90,110.25,,
36,Asian Paints,"3,122.90",1.94,"682,344",0.00,"3,122.90",0,30,"3,089.00","3,063.50",,
37,Aster DM Health,207.90,2.19,"1,242,672",0.00,207.90,0,"2,862",212.00,203.45,,
38,Astral Ltd,"2,295.25",3.13,"1,224,778",0.00,"2,295.25",0,19,"2,350.00","2,225.60",,
39,AstraZeneca,"3,073.10",0.08,"13,347",0.00,0.00,0,0,"3,070.00","3,070.65",,
40,Atul,"8,695.05",-1.46,"25,408",0.00,0.00,0,0,"8,845.00","8,823.75",,
41,AU Small Financ,"1,216.30",1.24,"445,769",0.00,"1,216.30",0,201,"1,206.80","1,201.40",,
42,Aurobindo Pharm,687.90,0.20,"1,243,951",687.90,0.00,"1,550",0,690.00,686.55,,
43,Avanti Feeds,561.10,-2.50,"467,839",0.00,561.10,0,608,580.00,575.50,,
44,Avenue Supermar,"5,078.55",1.62,"487,061",0.00,"5,078.55",0,"1,886","5,044.95","4,997.75",,
45,Axis Bank,736.05,-0.27,"9,372,897",0.00,736.05,0,"1,026",742.80,738.05,,
46,Bajaj Auto,"3,635.05",-3.06,"745,428","3,635.05",0.00,129,0,"3,782.00","3,749.95",,
47,Bajaj Consumer,212.55,-2.30,"805,318",212.55,0.00,10,0,218.95,217.55,,
48,Bajaj Electric,"1,090.30",-1.68,"718,389","1,090.30",0.00,93,0,"1,111.70","1,108.95",,
49,Bajaj Finance,"7,579.10",1.70,"497,128",0.00,"7,579.10",0,11,"7,500.00","7,452.70",,
50,Bajaj Finserv,"18,273.80",2.25,"207,802",0.00,"18,273.80",0,30,"18,135.00","17,871.35",,
51,Bajaj Holdings,"4,984.30",1.48,"27,712",0.00,0.00,0,0,"4,975.00","4,911.60",,
52,Balaji Amines,"2,978.25",-4.89,"236,427","2,978.25",0.00,2,0,"3,169.90","3,131.35",,
53,Balkrishna Ind,"2,361.75",-0.76,"954,647","2,361.75",0.00,278,0,"2,425.00","2,379.90",,
54,Balmer Lawrie,126.80,-0.12,"134,321",126.80,0.00,208,0,128.00,126.95,,
55,Balrampur Chini,339.65,-0.13,"723,611",0.00,339.65,0,"1,848",342.00,340.10,,
56,Bandhan Bank,310.90,1.32,"4,369,452",310.90,0.00,"3,971",0,309.70,306.85,,
57,Bank of Baroda,101.35,0.05,"25,655,521",101.35,0.00,"1,215",0,102.25,101.30,,
58,Bank of India,61.75,-0.80,"5,821,598",61.75,0.00,45,0,62.80,62.25,,
59,Bank of Mah,20.85,-0.24,"2,030,001",0.00,20.85,0,"8,031",21.10,20.90,,
60,BASF,"2,977.20",-1.01,"25,010",0.00,"2,977.20",0,122,"3,020.00","3,007.50",,
61,Bata India,"2,156.75",0.59,"549,920","2,156.75",0.00,401,0,"2,150.25","2,144.15",,
62,Bayer CropScien,"4,700.20",-1.09,"11,497","4,700.20",0.00,55,0,"4,755.00","4,752.10",,
63,BEML,"1,619.45",-0.14,"59,239","1,619.45",0.00,17,0,"1,628.85","1,621.70",,
64,Berger Paints,794.50,1.97,"984,960",794.50,0.00,"1,105",0,783.30,779.15,,
65,Bharat Dynamics,425.05,-3.01,"313,670",0.00,425.05,0,"2,590",440.00,438.25,,
66,Bharat Elec,223.60,0.13,"7,710,674",0.00,223.60,0,897,225.50,223.30,,
67,Bharat Forge,775.05,-0.90,"7,646,975",0.00,775.05,0,"6,303",791.00,782.05,,
68,BHEL,65.15,0.54,"36,992,832",0.00,65.15,0,"56,549",65.00,64.80,,
69,BPCL,427.70,0.56,"2,144,462",427.70,0.00,191,0,428.00,425.30,,
70,Bharat Rasayan,"10,312.55",-7.77,"13,813","10,312.55",0.00,8,0,"10,851.05","11,181.35",,
71,Bharti Airtel,743.50,2.05,"9,207,508",0.00,743.50,0,"9,312",733.00,728.60,,
72,Biocon,346.45,-0.04,"704,956",346.45,0.00,300,0,347.50,346.60,,
73,Birla Corp,"1,490.35",-2.04,"146,836",0.00,"1,490.35",0,"1,082","1,521.45","1,521.45",,
74,Birlasoft,425.65,1.14,"1,736,375",0.00,425.65,0,"1,859",423.10,420.85,,
75,Bliss GVS,103.05,-0.24,"122,500",0.00,103.05,0,25,104.05,103.30,,
76,Blue Dart,"6,946.10",-0.83,"7,356",0.00,"6,946.10",0,46,"7,005.00","7,004.35",,
