,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status
0,Amara Raja Batt,665.55,22.55,0.01,37.87,246.49,646.0,11.0,9.04,15.36,NIFTY_AUTO,profit
1,Ashok Leyland,146.0,-106.07,0.53,-1.07,23.77,-313.0,0.0,-2.05,-4.49,NIFTY_AUTO,loss
2,Bajaj Auto,3583.8,21.86,0.0,167.9,942.51,4550.0,140.0,16.4,17.8,NIFTY_AUTO,profit
3,Balkrishna Ind,2322.15,27.72,0.17,60.91,310.39,1177.0,17.0,20.36,19.62,NIFTY_AUTO,profit
4,Bharat Forge,802.75,-219.91,0.85,-2.71,116.98,-96.0,2.0,-1.53,-2.33,NIFTY_AUTO,loss
5,Bosch,18892.25,86.43,0.0,163.0,3326.41,480.0,115.0,4.94,4.91,NIFTY_AUTO,profit
6,Eicher Motors,2674.2,52.82,0.01,49.3,418.52,1315.0,17.0,15.08,11.77,NIFTY_AUTO,profit
7,Exide Ind,177.5,19.27,0.02,9.53,86.1,803.0,2.0,5.25,11.13,NIFTY_AUTO,profit
8,Hero Motocorp,2749.35,19.95,0.02,146.07,778.76,2982.0,105.0,9.63,18.92,NIFTY_AUTO,profit
9,M&M,954.45,48.7,1.43,16.33,456.2,2425.0,8.75,0.31,4.35,NIFTY_AUTO,profit
10,Maruti Suzuki,8274.75,47.21,0.01,145.3,1738.43,4220.0,45.0,5.99,8.36,NIFTY_AUTO,profit
11,MRF,79374.15,0.0,0.13,3011.14,31636.34,1277.0,150.0,7.9,9.52,NIFTY_AUTO,profit
12,Tata Motors,530.15,-8.16,2.08,-36.99,148.39,-13016.0,0.0,-5.21,-24.34,NIFTY_AUTO,loss
13,Tube Investment,1735.4,78.87,0.61,15.13,130.07,304.0,3.5,5.0,13.18,NIFTY_AUTO,profit
14,TVS Motor,739.7,46.77,2.44,12.51,88.71,615.0,3.5,3.16,15.52,NIFTY_AUTO,profit
15,HCL Tech,1152.45,23.93,0.06,41.07,221.3,11169.0,10.0,14.81,18.6,NIFTY_IT,profit
16,Infosys,1787.45,29.99,0.0,45.61,180.75,19423.0,27.0,19.33,25.34,NIFTY_IT,profit
17,L&T Infotech,7397.05,36.53,0.01,110.98,417.55,1938.0,40.0,15.66,26.5,NIFTY_IT,profit
