,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,,,,,
1,Amara Raja Batt,665.55,22.55,0.01,37.87,246.49,646.00,11.00,9.04,15.36,NIFTY,AUTO,,,,
2,Ashok Leyland,146.00,-106.07,0.53,-1.07,23.77,-313.00,0.00,-2.05,-4.49,NIFTY,AUTO,,,,
3,Bajaj Auto,"3,583.80",21.86,0.00,167.90,942.51,"4,550.00",140.00,16.40,17.80,NIFTY,AUTO,,,,
4,Balkrishna Ind,"2,322.15",27.72,0.17,60.91,310.39,"1,177.00",17.00,20.36,19.62,NIFTY,AUTO,,,,
5,Bharat Forge,802.75,-219.91,0.85,-2.71,116.98,-96.00,2.00,-1.53,-2.33,NIFTY,AUTO,,,,
6,Bosch,"18,892.25",86.43,0.00,163.00,"3,326.41",480.00,115.00,4.94,4.91,NIFTY,AUTO,,,,
7,Eicher Motors,"2,674.20",52.82,0.01,49.30,418.52,"1,315.00",17.00,15.08,11.77,NIFTY,AUTO,,,,
8,Exide Ind,177.50,19.27,0.02,9.53,86.10,803.00,2.00,5.25,11.13,NIFTY,AUTO,,,,
9,Hero Motocorp,"2,749.35",19.95,0.02,146.07,778.76,"2,982.00",105.00,9.63,18.92,NIFTY,AUTO,,,,
10,M&M,954.45,48.70,1.43,16.33,456.20,"2,425.00",8.75,0.31,4.35,NIFTY,AUTO,,,,
11,Maruti Suzuki,"8,274.75",47.21,0.01,145.30,"1,738.43","4,220.00",45.00,5.99,8.36,NIFTY,AUTO,,,,
12,MRF,"79,374.15",0.00,0.13,"3,011.14","31,636.34","1,277.00",150.00,7.90,9.52,NIFTY,AUTO,,,,
13,Tata Motors,530.15,-8.16,2.08,-36.99,148.39,"-13,016.00",0.00,-5.21,-24.34,NIFTY,AUTO,,,,
14,Tube Investment,"1,735.40",78.87,0.61,15.13,130.07,304.00,3.50,5.00,13.18,NIFTY,AUTO,,,,
15,TVS Motor,739.70,46.77,2.44,12.51,88.71,615.00,3.50,3.16,15.52,NIFTY,AUTO,,,,
16,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,IT,
17,COFORGE,LTD.,"5,839.35",39.19,0.00,74.68,406.95,466.00,13.00,9.99,18.47,NIFTY,IT,,,
18,HCL Tech,"1,152.45",23.93,0.06,41.07,221.30,"11,169.00",10.00,14.81,18.60,NIFTY,IT,,,,
19,Infosys,"1,787.45",29.99,0.00,45.61,180.75,"19,423.00",27.00,19.33,25.34,NIFTY,IT,,,,
20,L&T Infotech,"7,397.05",36.53,0.01,110.98,417.55,"1,938.00",40.00,15.66,26.50,NIFTY,IT,,,,
21,Mindtree,"4,988.95",30.90,0.00,67.44,262.23,"1,110.00",25.00,13.93,25.71,NIFTY,IT,,,,
22,MphasiS,"3,442.65",27.26,0.08,65.18,348.93,"1,216.00",65.00,12.51,18.64,NIFTY,IT,,,,
23,Oracle Fin Serv,"4,476.35",15.61,0.00,204.90,795.80,"1,761.00",200.00,35.35,25.72,NIFTY,IT,,,,
24,TCS,"3,521.90",36.65,0.00,86.71,235.43,"32,562.00",38.00,19.83,37.52,NIFTY,IT,,,,
25,Tech Mahindra,"1,618.45",19.58,0.07,50.64,288.78,"4,351.00",45.00,11.49,17.81,NIFTY,IT,,,,
26,Wipro,661.80,21.67,0.12,19.11,100.48,"10,855.00",1.00,17.52,19.66,NIFTY,IT,,,,
27,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,PSU,BANK
28,Bank of Baroda,97.55,22.32,0.00,3.32,159.12,"1,454.00",0.00,1.95,1.87,NIFTY,PSU,BANK,,,
29,Bank of India,59.50,10.67,0.00,6.36,124.10,"2,199.00",0.00,5.38,5.12,NIFTY,PSU,BANK,,,
30,Bank of Mah,20.15,22.86,0.00,0.91,16.97,551.00,0.00,4.64,5.13,NIFTY,PSU,BANK,,,
31,Canara Bank,220.05,7.96,0.00,19.11,328.68,"2,702.00",0.00,3.84,5.34,NIFTY,PSU,BANK,,,
32,Central Bank,21.50,-9.42,0.00,-1.73,30.47,-878.00,0.00,-3.84,-5.58,NIFTY,PSU,BANK,,,
33,Indian Bank,162.80,4.16,0.00,27.88,298.42,"3,016.00",2.00,7.71,9.34,NIFTY,PSU,BANK,,,
34,IOB,20.90,31.37,0.00,0.51,10.31,831.00,0.00,4.90,4.90,NIFTY,PSU,BANK,,,
35,JK Bank,41.80,4.27,0.00,6.01,81.69,435.00,0.00,5.28,7.34,NIFTY,PSU,BANK,,,
36,Punjab,&,Sind,17.25,-0.49,0.00,-35.71,20.64,"-2,733.00",0.00,-39.18,-32.67,NIFTY,PSU,BANK,
37,PNB,40.65,13.88,0.00,2.64,88.32,"2,152.00",0.00,2.62,2.76,NIFTY,PSU,BANK,,,
38,SBI,498.15,14.51,0.00,25.11,282.35,"22,912.00",4.00,8.73,8.89,NIFTY,PSU,BANK,,,
39,UCO Bank,13.65,64.71,0.00,0.17,17.46,167.00,0.00,1.15,0.96,NIFTY,PSU,BANK,,,
40,Union Bank,47.35,7.62,0.00,4.47,93.24,"2,828.00",0.00,4.08,4.79,NIFTY,PSU,BANK,,,
41,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,FIN,SERVICE
42,Axis Bank,712.35,28.83,0.00,24.19,338.13,"7,252.00",0.00,11.20,6.94,NIFTY,FIN,SERVICE,,,
43,Bajaj Finance,"7,607.65",69.99,3.57,73.58,613.67,"4,419.00",10.00,16.57,11.97,NIFTY,FIN,SERVICE,,,
44,Bajaj Finserv,"18,255.40",34.42,3.57,280.90,"3,663.06","7,367.00",3.00,12.15,12.47,NIFTY,FIN,SERVICE,,,
45,Chola,Invest.,626.35,0.00,6.64,18.55,117.02,"1,521.00",2.00,15.88,15.84,NIFTY,FIN,SERVICE,,
46,HDFC AMC,"2,647.65",46.87,0.00,62.28,224.28,"1,325.00",34.00,71.56,27.75,NIFTY,FIN,SERVICE,,,
47,HDFC Bank,"1,530.80",25.81,0.00,57.88,380.59,"31,857.00",6.50,24.78,15.17,NIFTY,FIN,SERVICE,,,
48,HDFC Life,711.05,103.29,0.05,6.74,55.38,"1,360.00",0.00,81.04,12.15,NIFTY,FIN,SERVICE,,,
49,HDFC,"2,948.40",23.66,2.85,105.59,918.08,"13,566.00",23.00,9.75,11.95,NIFTY,FIN,SERVICE,,,
50,ICICI Bank,761.30,21.35,0.00,27.26,223.31,"20,220.00",0.00,22.83,11.90,NIFTY,FIN,SERVICE,,,
51,ICICI Lombard,"1,529.00",44.22,0.06,32.41,178.53,"1,473.00",8.00,59.87,18.15,NIFTY,FIN,SERVICE,,,
